News,Relevance
"The Right to Information (RTI) applications saw around 83 per cent rejection over 'national security by the Centre in 2020-21, an RTI analysis shows. Venkatesh Nayak of Commonwealth Human Rights Initiative (CHRI), a human rights campaign body, analysed applications in over 2,182 central government departments. All ministries are supposed to send the RTI status reports to the Central Information Commission (CIC).",no
The Bharat Sanchar Nigam Limited (BSNL) Employees Unions expressed concern on Thursday over the prevailing deadlock between the state-run telco and IT services provider Tata Consultancy Services (TCS) that has affected the rollout of the former's much-awaited fourth generation or 4G services.,yes
"The central government employees, pensioners, and their dependants across the country depend on the Central Government Health Scheme (CGHS) for comprehensive medical care. It is one of the biggest perks that comes with their job, and is often the only way central government employees posted in remote areas can access quality healthcare. However, the scheme that has beneficiaries in 52 cities across that country, seems to be ailing.",yes
"The last week of July has many surprises, good news and a little bit of bad news for different zodiac signs. On July 29, Jupiter will retrograde in Pisces which will leave an impact on all the 12 zodiac signs including Aries, Taurus, Gemini, Cancer, Leo, Virgo, Libra, Scorpio, Sagittarius, Capricorn, Aquarius, and Pisces. Know what stars have in store for you this week and what precautions you should take in terms of business, personal life and health.",no
"Life Insurance Corporation (LIC) chairman MR Kumar said that the company is keen to re-enter the mediclaim segment when the regulator provides clarity on the issue, according to news agency PTI. He said that the insurance company is already offering a lot of long-term health protection and guaranteed products.",yes
Sources said Ogra had been strictly asked to keep its recommendations confidential as the government may have to go beyond its calculations for price increase to gradually start recouping revenue loss on account of lower that targeted petroleum levy.,yes
"India was suspended by FIFA in the early hours of 16th August, citing undue influence from third parties. The development has also jeopardised the country's bid to host the 2022 edition of the U-17 Women's World Cup, which was scheduled to be held from October 11-30.",no
"The decision by Indian Railways to permanently withdraw the concession in train fares for senior citizens has upset the beneficiaries thoroughly. Railway Minister Ashwini Vaishnaw, who had specified this in the Lok Sabha in a written reply in March this year, reiterated this at a press meet in Chennai last week.  With normalcy returning to travel across sectors, seniors were hoping their subsidised travel withdrawn on health and safety grounds during COVID-19 from March 2020 would be restored.CPI MP from Kerala Binoy Viswam on Monday urged the Railway Minister to restore it as crores of senior citizens have been affected due to its withdrawal.",yes
"Given the centrality of BMP to 'Make in India' and India's economy, it's vital to understand what exactly the land acquisition problem is and what is causing it. Only then can we accelerate the remaining work and significantly reduce the final delay…",yes
"On July 25, Trinamool Congress National Spokesperson Saket Gokhale published a misleading tweet thread claiming that the Central Government does not consult the President on matters related to the armed forces. In his tweet, he shared an RTI and its reply sent by the President of India’s office and claimed that “the President is not consulted by the Central Government on matters related to the armed forces”. He further claimed it was an insult to the President of India.",no
"Education of 733 students will be in limbo if NTPC cancels Kendriya Vidyalaya.  This is the only central school in the district where so many children are studying in classes 1 to 12.  Now there are not enough teachers here.  With the threat of closure, some teachers bought transfers.",yes
"The Securities and Exchange Board of India (SEBI) is the capital and commodities market regulator of India. SEBI has been constituted under the SEBI Act, 1992 and possesses wide quasi-legislative, quasi-executive and quasi-judicial powers in relation to the securities markets in India. The Securities Appellate Tribunal (SAT) is an appellate body constituted under the SEBI Act to hear appeals against any order passed by SEBI or its adjudicating officers.",no
"Bhoothakaalam Review: Revathi Is Flawless In Must-Watch Film Bhoothakaalam Review: Fleshed out with commendable control by Revathi and Shane Nigam, a woman and her unemployed son confront a rapid unravelling of their lives in a house where a dark secret lurks in the shadows.",no
"The Indian Railway Tourism and Catering Corporation (IRCTC) has issued a clarification after Indian Railways decided that it will now open food plaza, fast food units and multi-cuisine restaurants, taking over from its catering arm IRCTC, in a bid to generate non-fare revenue, according to an order issued by the Railway Board. An IRCTC spokeperson said that, “Scope of work for food plaza operation were drastically curtailed due to Covid-19 and open tender is the continuous process through which food plazas are awarded."" The spokesperson attributed the reason behind non- participation primarily due to poor location and lack of operational and financial feasibility. ",yes
"Child rights panels of three states joined the Delhi Commission for the Protection of Child Rights (DCPCR) on Wednesday, appealing to the Union government to roll back an amendment in the Juvenile Justice Act that makes certain offences against children non-cognisable.  In 2021, the Juvenile Justice (Care and Protection of Children) Act-2015 was amended through Presidential assent. Among the amendments is a change in Section 86 (2) of the 2015 Act that says: “When an offence under this Act is punishable with imprisonment for a term of three years and above, but not more than seven years, then such an offence shall be cognisable, non-bailable and triable by a Magistrate of First class.” With the amendment, the offences of the said category shall be “non-cognisable and non-bailable”.",no
"China’s doublespeak in its conduct of international relations has been laid bare yet again. On Wednesday, the Chinese ambassador in New Delhi, Sun Weidong, called on the Indian government to abide by the ‘One China’ policy. The call came in the wake of US House Speaker Nancy Pelosi’s visit to Taiwan, which Beijing interpreted as an act that “distorts, obscures and hollows out the ‘One China’ principle.” Under the ‘One China’ policy, a country affirms that the People’s Republic of China is the only China and that the Republic of China i.e., Taiwan, is not a separate, sovereign entity. The US affirmed its commitment to this policy in 1978, although the next year the US Congress passed the Taiwan Relations Act and in 1982 the US government issued ‘Six Assurances’ that made it clear that the US would not formally recognise Chinese sovereignty over Taiwan and would defend Taiwan in the event of a Chinese bid to force Taiwan to integrate with it.",no
"Every player has its own way of celebrating, whether a batter or bowler, on a cricket field. Similarly, a video of Serbian cricketer celebrating his wickets in a unique way has gone viral on social media. Ayo Mene-Ejegi, who plays for Serbia, has a unique way of celebrating his wickets. In a video shared by ICC, Ayo can be seen making a ground flip before lying straight on the ground with his hands wide open. So far, the video has garnered over 185,000 likes on Instagram.",no
"On June 25, Shihabuddin of Talangara Pallikal was arrested in a case of stealing six pawan from his house.  One of the accused, Vijesh (26), a resident of Kannur Mattannur, was caught by the locals during the theft and handed over to the police.  He is in remand.  It was Latif who won the gold that day.  Latif first went to Uppala and then left for Mananthavadi on a scooter.  Meanwhile, police found three grams of gold sold at Kanhangate jewelery on Tuesday.",no
"Day after Union Law Minister Kiren Rijiju reiterated the Narendra Modi government's commitment to implementing Uniform Civil Code (UCC) in India, the All India Muslim Personal Board (AIMPLB) said that it would oppose any government move to implement a common civil code in the country. The Union law minister told Lok Sabha on July 26 that the BJP's view on the UCC is clear, and that the NDA government subscribes to the party ideology. ""About UCC, you know what our government's thinking is. We want that our party's ideology should be considered as the country's ideology,"" the law minister said",no
"Actor Urvashi Rautela and cricketer Rishabh Pant are making news as they trade insults on social media via cryptic tweets. Their face-off began after Urvashi claimed in an interview that a person, whom she only identified as ‘RP’, once waited for hours at a hotel lobby to meet her. In 2018, it was claimed that the two were dating, but their relationship ended on an acrimonious note..",no
"The explosion and fire on board a supertanker off Sri Lanka this month, following closely on last month’s disastrous oil spill in Mauritius, serve as a reminder that environmental security threats are front and centre of security concerns among many Indian Ocean states. This issue will become only more important with the environmental threats caused by climate change. But there is currently no effective mechanism for regional cooperation on environmental security problems. Just as it has done in the Pacific, Australia should work with like-minded states to establish collaborative mechanisms in the Indian Ocean.",yes
"The case in the water of Ne Veepa is that a newborn baby was killed by drowning. On the 10th in Udumbannur, a young woman was arrested in a case where she was allegedly killed by a vada. Sambha Udumbannur Manguzhi Charala was in the washroom. Chi Kitsa was in Sujitha hospital. As soon as Mu gave birth yesterday, the child was brought to the court Jita (26) was arrested. Mu manded in the water of the barrel.",no
"ALTHOUGH there are several restrictions on international travel, demand for passports has risen with the Regional Passport Office, Pune reporting that 70-80 per cent of its daily quota for fresh applications gets sold out every day. The Pune Passport Seva Kendra (PSK) releases 1,200 normal applications and 200 tatkal applications every day and a majority of them are being filled out, RPO officials have said.",yes
"Indian roads have been at the top of the international table of fatalities caused by road crashes for several years. The annual report of the Ministry of Road Transport and Highways (21-22) informs us that in 2019, there were a total of 449,002 road accidents and 151,113 deaths. This was up, from 2005 when a total of 439,255 accidents ended up in 94,968 deaths. What is also striking is that the severity of accidents, defined as the number of persons killed per 100 accidents, has risen sharply from 21.6 in 2005 to 33.7 in 2019. This article ignores the figures of the pandemic years as they would not reflect the true state of affairs on account of lockdowns and restrictions imposed at the national, state, and city levels.",yes
"It has been quite a while since the Nothing Phone (1) came out. The smartphone offers all-around specifications at a slightly premium price, which it justifies with its unique appearance. While the company was able to generate a great deal of hype around the Phone (1), early customers are facing problems with the product, including delivery delays, unaligned components, and so on.",yes
"Did you know that in 2019, India had an average of 414 deaths per day, placing it first in the global rankings of total road accident deaths, with a share of around 11%? Over the last few years, the number of fatalities on Indian highways and in cities has increased. Traffic on the road has increased significantly as a result of increased urbanisation, motorization, and migration, resulting in road accidents, deaths, congestion, and road safety issues.",yes
"operating between security & boarding gates of Delhi airport's T3: Parliament panel. The members of Parliamentary Committee on Estimates visited T3 with the representatives of the Airports Authority of India (AAI) and Delhi International Airport Limited (DIAL) on September 26 last year, said its report that was tabled in Lok Sabha on Monday. The Delhi airport, which is operated and managed by GMR Group-led DIAL, has three terminals.",yes
"Malnutrition and other health problems lead to the death of newborn babies.  Most women in Attapadi are anemic.  Patients with sickle cell anemia also lack cotton.  Adivasis used to eat ragi and chama.  A community kitchen started to provide nutritious food provides rations of rice, rice and rasam.  Due to free food, many people did not go to work and started to live only by eating food from community kitchens, which led to increasing nutritional poverty among the tribals.",yes
"The government pays compensation to the owner when the land along the road is acquired for the development of the national highway.  But many people may have doubts whether this amount needs to be taxed.  Currently taxpayers may be in doubt as to how to include the amount received as compensation in the return.  But such people can take comfort.  This is because when land is acquired for a national highway, it is exempt from tax under Section 96 of the Right to Fair Compensation and Transparency in Land Acquisition, Rehabilitation and Resettlement Act, 2013.  As per circular 36/2016 dated 25th August 2016 issued by the Central Board of Direct Taxes this amount is also tax free.",yes
"The basic relief proceedings under the Protection of Women from Domestic Violence Act (PoWDVA), 2005 are purely civil in nature though the Parliament had consciously empowered judicial magistrates to adjudicate the rights of victim women by predominantly adopting procedures prescribed under the Code of Criminal Procedure (Cr.P.C.), the Madras High Court has held.",no
"we are traveling by 12956 which departed from Jaipur today , the train is taking a lot of jerks every few minutes this is very uncomfortable for elderly people pls check. ",yes
"The ongoing changes in the content and structure of banking should be evaluated as a major social problem, causing changes in the thoughts and attitudes of bank employees.  Four months ago similar suicides took place in a bank branch in Guruvayur and before that in a private bank in Palakkad.  On July 2, 2014, a 52-year-old chief manager committed suicide by jumping in front of a train after a review meeting of managers at the zonal level.",yes
"Covid changed the average Indian’s perception of life insurance and brought pure protection term plans into focus. Though financial planners recommend term insurance, a majority of people continue to avoid these plans. The India Protection Quotient survey by Max Life Insurance revealed that term insurance ownership among urban Indians shot up by 4 percentage points in 2021. But even after the increase, less than one-third (32%) of the respondents had term insurance.",yes
"Discrimination was more common among the Indigenous population than among populations who are both non-Indigenous and non-visible minority (33% versus 16%). More specifically, 44% of First Nations people had experienced discrimination in the 5 years preceding the survey, as had 24% of Métis and 29% of Inuit.",no
"The second arrival of Covid has dealt a heavy blow to the tourism sector of the district.  Hundreds of people who depended only on this sector and were looking for food lost their own means of income.  Even if the Covid restrictions are eased, it will take months for tourism centers to recover.  This will make people who depend on tourism more miserable.",yes
"At least some readers may remember that I wrote about Karuvannur Cooperative Society last November in Pratibhashanam column.  This writer has taken the position of returning the money to the investors there without politicizing the Karuvannur scam.  And it was written in this column that strong action should be taken to punish the culprits.  But it is impossible not to say that even after long months, the investors could not pay the money when they demanded it, it is a big failure of the administration in Kerala.",yes
"According to the law, citizens of India have a legal right to well maintained roads and any loss due to poor road infrastructure can be claimed. But the right is being denied by the authorities ever since its formation as potholes all over the country are a painful reality.",yes
The Supreme Court on Thursday said the practice of divorce through Talaq-e-Hasan is not similar to outlawed triple talaq. It added that women also have the option to end the marriage through a permitted Islamic practice called Khula.,no
"The petitioner sought a direction to the regional passport office, Trichy to reissue a passport based on his application dated September 28, 2021. The petitioner submitted that the authorities denied the issuance of his passport which he had missed. The petitioner claimed that he is doing business in Malaysia. When he approached the passport authorities in the Indian embassy in Kuala Lumpur, they rejected his application on the ground that criminal cases are pending against him.",yes
"Monetising surplus land held by state is a good idea, it needs to be done with transparency, sensitivity to public interest. Considering that land monetisation is a complex process, entrusting this work to a separate agency is the right way to go about it.India has enough land for farming but there are other bigger issues to worry about. One of the fears that has been raised in the aftermath of the government promulgating an ordinance to amend the Land Acquisition Act is that land will be taken away for other purposes and given that, the amount of land used for farming will come down dramatically.",yes
"While the lack of toilet facilities is clearly a problem for men as well, women drivers at Indian Railways face additional issues during their period. With toilet facilities installed in only 97 train engines, women loco drivers say they have learned to just “bottle it up.”",yes
"India's COVID crisis hits global shipping industry hard. India is one of the biggest providers of seafarers for the shipping industry. But the nation's COVID wave has sparked travel curbs and restrictions on Indian crews, sending shipping firms scrambling to find replacements. Global ports are now slamming doors on Indian crew and vessels. Companies are insisting on vaccinated workers and seafarers, spelling bad news for an already stretched maritime sector. ",yes
"Chief Justice of India (CJI) NV Ramana, on Saturday, berated media for running Kangaroo courts and conducting media trial on sub-judice matters, thereby, making the job of judges difficult and adversely affecting the justice delivery system. He said that by running agenda-driven debates, media was overstepping and breaching its responsibility and taking democracy two steps backwards.",no
"Lack of penetration in most of the rural geographies has been a decade-long problem as a large section of their population remains uninsured. Due to relatively few buyers and sellers of insurance in rural areas, market power shifts to insurers and results in high prices, which further leads to lower penetration.",yes
"US House of Representatives Speaker Nancy Pelosi on Tuesday arrived in Taipei for a visit that has pushed friction between Washington and Beijing to a new level. The Chinese leadership has repeatedly warned against Pelosi, a long-time critic of Beijing, making a trip to self-ruled Taiwan, which China claims as its own.",no
A man in the Malappuram area of Kerala protested against the potholes on road in a very unique way. He drew the attention of the authorities by performing yoga and bathing in a water-logged pothole in front of an MLA. A video of the same incident has come to light. The man can be seen taking a bath in a pothole filled with rainwater. He can also be seen washing his clothes in the muddy water.,yes
"This was revealed in an RTI application filed by Pankti Jog of Mahiti Adhikar Gujarat Pahel, an NGO. As per data, before 2015, the state received Rs 50.55-lakh grant for RTI training and Awareness programmes. The opposition Congress and the Aam Aadmi Party have accused the BJP of trying to kill the RTI Act to hide corruption.",no
"India had demanded not to allow the ship, which poses a huge security threat, but at the last minute, Sri Lanka gave in to China's demand.  Sri Lanka had written to the Chinese Embassy in Colombo to delay the arrival of the ship.  But the Chinese ship continued its voyage without paying any attention to Sri Lanka's proposal.  Sri Lanka could not control the ship because it arrived at the Chinese-controlled Hambantota port.",no
"India's coastal and marine ecosystems comprising sandy beaches, estuaries, creeks and mangroves is facing destruction due to development and associated activities, pollution and climate change, a leading global conservation organisation said. On the eve of World Ocean's Day, a note prepared by the International Union For Conservation of Nature (IUCN) stated that in India, a large number of people are dependent on the coastal and marine ecosystems and their resources, for survival and livelihood. June 8 is World Oceans Day, the United Nations day for celebrating the role of the oceans in our everyday life and inspiring action to protect the ocean and sustainably use marine resources. ",yes
BSNL BSNL has conducted special inspections in areas with poor mobile range to ensure service availability. Ernakulam Area Principal General Manager Dr. Francis George instructed the concerned officials,yes
SpiceJet flights held up at Delhi airport over payment issues: Report. SpiceJet has to make daily payments to Airports Authority of India as it has been put on ‘cash and carry’ basis after the airline failed to clear its dues. ,yes
" A senior IPS officer from Karnataka has been fined Rs 10,000 for not providing details on action taken against those involved in manual scavenging, sought under the Right to Information (RTI) Act. The officer is Ram Nivas Sepat, then Deputy Inspector General of Police of Karnataka State Reserve Police (KSRP). He is currently posted at Nation Police Academy, Hyderabad.",no
"The Competition Commission of India (CCI) is in the process of filing a written submission before the National Company Law Appellate Tribunal (NCLAT). The antitrust watchdog may communicate to the tribunal about holding the right to revoke its own decision if the information furnished to it is incomplete and/or incorrect, said people in the know.",no
"Chief Minister Himanta Biswa Sarma made the announcement on Monday while delivering his Independence Day speech. ""The government has decided to formally withdraw one lakh cases, mostly pertaining to Facebook and Twitter posts, which were registered and pending in the court till the midnight of August 14, 2022 so that the judiciary can concentrate more on the other serious cases,"" he said.",no
"Sexual harassment / assault / DV / murder accused, with subjudice cases /proven guilty in their own party - clean chit plus Office, platforms and whatnot.  Similar accused in another party - GUILTY GUILTY. Plus ""WHERE ARE THE WOMEN??!!""  Systems a set pannunga da nna vakku illa.",no
"The government says the number of accidents, deaths and injuries has somewhat stabilised since 2010 ""with only marginal year to year fluctuations"". However, the World Road Statistics 2018 puts India right at the top of 199 countries when it comes to the total number of fatal road accidents, while the World Health Organisation's (WHO) Global Report on Road Safety says the country accounts for almost 11% of such deaths across the globe.",yes
"The US actor Anne Heche has died, a week after she was critically injured in a car crash.  The news was confirmed by a representative for her family to the US online media outlet TMZ, who said in a statement: “We have lost a bright light, a kind and most joyful soul, a loving mother, and a loyal friend.  “Anne will be deeply missed but she lives on through her beautiful sons, her iconic body of work, and her passionate advocacy. Her bravery for always standing in her truth, spreading her message of love and acceptance, will continue to have a lasting impact.”",no
"It all started to go from bad to worse as controversial former AIFF president Praful Patel, whose third term in office ended in December 2020, stayed in office citing a pending Supreme Court case. The case that was pending since 2017, allowed him to extend his term while refusing to hold elections till the issue of a new constitution was settled by the top court. Patel violated all principles of good governance for multiple years.",no
"Public roads should not be blocked, reiterates Supreme Court. The Supreme Court made Haryana and Uttar Pradesh party to a plea highlighting traffic woes on account of the ongoing farmers protests in Delhi.",yes
"Roads not completed, users overcharged — the many potholes in implementing highway projects. one were to compare the national economy to the human body, highways can be considered the arteries. Like clogged arteries which can be life-threatening, poor roads can derail economic growth. Planning and execution of highway projects have several other implications related to safeguarding the interest of the consumer, environmental impact, prudent contract management etc.",yes
"Karnataka hijab case: The Karnataka High Court is set to resume hearing the hijab case at 2:30 pm today. Schools in Karnataka reopened today after a meeting between the local administration and leaders was held on Sunday evening to ensure communal harmony. Earlier, responding to comments made by some countries on the hijab row, the Ministry of External Affairs said the matter is sub-judice and motivated comments on India's internal issues are not welcome. Stay tuned for live updates.",no
"England had to bat first after Rohit Sharma had won the toss and inserted them in. The decision was proving to be costly as they lost two wickets with just 12 on the board. But they came back in the match riding on a fifty plus stands between Moeen Ali and Jos Buttler who scored 60 off 80 balls. Meanwhile, he was ably supported by Moeen and Liam Livingstone. Nonetheless, Hardik Pandya brought India back into the match with his short balls as he went onto pick four wickets. In the end, Chahal picked two in the same over as England were all out for 259 with more than four overs to spare. India now need 260 to seal the series.",no
No such thing as free land: Tamil Nadu draws up policy on compensation if airports are privatised. Finance Minister Palanivel Thiaga Rajan says DMK-led government moving towards ‘comprehensive policy on land leases to address challenges faced in leasing government land’.,yes
"The Indian Ocean is vital to the economies, security and livelihoods of its littoral states. However, the economic and sustainable development issues in the rim are particularly challenging since the countries, with diverse political systems, development status and agendas, are home to one- third of the world’s population that rely extensively on the marine resources for sustenance, thereby subjecting the ocean’s resources to pressures from pollution, habitat degradation, and over-exploitation. Yet, if sustainable development goals are to be achieved and food security, livelihoods and economies based on marine resources assured, then, advancing blue economy through sustainable management and utilisation of ocean’s resources must be accorded high priority in the region. The paper explores the current governance framework of marine resource management in the Indian Ocean, delves into the challenges in blue economy development and recommends ways to advance blue economy governance in order to address pressures and ensure sustainable development in the region.",yes
On The Right To Protest In Sub-Judice Matters. Does holding a protest in any way impede with the Judiciary's function to adjudicate on the constitutional validity of a legislation and is imposing ,no
"A Jaipur-bound Alliance Air plane with 59 people on board made an emergency landing at the Delhi airport on Monday after it was forced to turn back due to nose landing gear problem and caught fire, sources Said. All passengers have been de-boarded safely, an Air India spokesperson said.",yes
"The government launched the 'Har Ghar Tiranga' campaign to commemorate the 75 years of India's independence. The campaign began on August 13 and will end on August 15. It's part of the ""Azadi Ka Amrit Mahotsav"" programme. The government has urged people to hoist or display tricolour flags in their homes.",no
"Bharat Sanchar Nigam Limited (BSNL) is a telco you can turn to if you want a prepaid plan that’s truly affordable. BSNL doesn’t have 4G services, and that is potentially one of the reasons why the telco can’t price its plans the same as the private operators. Thus, many users can keep BSNL SIM as a secondary SIM option on their devices. However, if you live in an area where BSNL’s networks can deliver a good experience, then it can also be a primary option for you. Here are some of the prepaid plans that you can take a look at if you want an affordable BSNL prepaid plan. ",yes
"Trial by media results in denigration of justice delivery system: Kerala HC. Kochi: Trial by media results in denigration of the justice delivery system and prejudicing mankind against the parties involved, the Kerala High ",no
"Foreign Minister S. Jaishankar has done well to point to the debacle in Afghanistan to counter the critics of New Delhi’s foreign and trade policies. All the same, New Delhi has joined the US-led Indo-Pacific Economic Forum (IPEF) in May, and India made a bold presence as a partner country at the G-7 in Germany last month.",no
"This is no coincidence. At the management and personnel level, the past few years have been challenging for Luthra and Luthra. This year it lost senior partner Vijay Sondhi, who passed away in January, and then in July senior partners HS Bobby Chandhoke and Sudhir Sharma led an unexpected exodus of 63 lawyers including some partners to DSK Legal.",no
Very bad experiences in tapvon Express in that thicket book by irctc And it's confirmed but in railway dabba it's not exist @IRCTCofficial @RailMinIndia Please return my payment as early as possible My thicket number is 99 and 103.  Really not sure if Shatabdi Trains aren't clean what to expect in other trains .. your serious attention required towards cleanliness in trains .. PNR - 2601755968.. We atleast expect cleanliness where we sit ..,yes
"The relatives had to wait for hours for the ambulance to bring the body of the tribal to the village after post-mortem.  Rangaswamy died on Sunday in Sholayur Vechapati Ur.  The body was brought to Agali Social Health Center at 5 pm.  Relatives said that although the post-mortem was completed yesterday morning, they had to wait for 3 hours for the ambulance to bring the body to the city.  They got an ambulance at 2 pm.",yes
"With Sharma stressing on the batters to take up an attacking approach to avoid top-order collapses and get more out of lower order runs, the series decider at Manchester could be the perfect place for India and Kohli to make up for all the previous shortcomings and provide an extension of their attacking batting approach from T20Is to clinch their second series on trot after winning T20I series 2-1.",no
"After the first lockdown, when the tourism centers opened on October 18, the tourist centers were operating with 50 percent of tourists admitted as per the Covid protocol.  Because of this, tourists came to all the centers.  However, after the second lockdown, the government did not give permission to open the tourist centers. As a result, thousands of people like resort, homestay, hotel owners, managers, employees, street vendors, traders, guides, auto taxi drivers who depend on this sector are suffering without income for months.  After the government announced relaxations in the second lockdown, most of the hotels, homestays and resorts in Munnar opened but closed again due to lack of tourists.",yes
"Fake campaign through social media that the registration of Ayushman Bharat, a health insurance scheme that provides free treatment, has started.  The Health ID scheme of the Union Health Ministry is being mistaken as a medical scheme.  Many lost money on registration fees.  It has been informed that the Health ID which is obtained by entering the person's Aadhar information and mobile number on the website of Health ID will store the health information digitally and will provide an opportunity to store and check the health information including records digitally.  Fraudsters are tricking people by mistaking Health ID as Ayushman Bharat health insurance.",yes
Staff at BSNL Belgavi need to learn some customer management skills. Absolutely disgusted using this bloody BSNL. Slowest internet on the planet.,yes
"George Floyd: State probe details 'racial discrimination' in Minneapolis police A state probe following the 2020 killing of George Floyd found that Minneapolis officers engaged in a ""pattern or practice of race discrimination."" The findings come days after Floyd's convicted killer filed an appeal.",no
The High Court of Karnataka has granted divorce to a 42-year-old woman from her 53-year-old husband on the grounds of causing mental cruelty to her as he treated her as a “cash cow” to repay the huge debt of his family members and his financial needs sans any emotional ties with her.,no
"Indian Railways update: Indian Railway Catering and Tourism Corporation (IRCTC) has decided to cancel over 140 train services on August 4 due to maintenance work, law and order situation, bad weather conditions and operational issues. IRCTC may further cancel over 120 trains tomorrow on August 5. Railway authorities has further changed source station of 21 trains and short terminated services of 19 trains. ",yes
"In the world, India records the highest number of deaths caused due to road accidents, numbering 1.5 lakh every year, the government informed the upper house on Wednesday.",yes
"“We have only one religion – the dharma of service and duty. We have only one God – Mother India. Sree Narayana Guru’s exhortation of One Caste, One Religion, One God gives a spiritual dimension to our patriotism. We all know that no goal of the world is impossible for the united Indians,” he said.",no
"New Delhi, Jul 17 (PTI) Some use sanitary napkins, others cut down on water intake and there are those who clamp down on their career dreams to sit in an office instead. With toilet facilities installed in only 97 train engines, women loco drivers say they have learnt to just “bottle it up”.",yes
"Passengers travelling in one of the highest class of prominent Rajdhani train of Indian Railways were served with lowest quality and worst type of food and beverage, which is Unacceptable and condemnable",yes
"The Bombay High Court on Monday directed the Regional Passport Authority to renew the passport of a city-based commercial pilot for 10 years as per passport rules for accused persons, after it was submitted that without a long-term validity of the passport, the petitioner, who is accused in a domestic violence case would not be able to secure a regular job as a commercial pilot.",yes
"The Shan state of Myanmar is the largest producer of illegal drugs within the infamous Golden Triangle—a tri-junction at the Myanmar, Laos and Thailand borders. Unregulated production and trafficking of drugs poses multifaceted threats, including those related to law and order, social problems associated with increased addiction, and transnational crimes with illicit money fuelling insurgent activities in the region and beyond. Enhanced multilateral cooperation of South and Southeast Asian countries in the banking sector for tracing of illicit money from drug trade can be very helpful in curbing such trade. There is also the need to strengthen social security schemes and employment opportunities to reduce incentives for marginalised and unemployed persons to participate in drug trade.",no
"The suburban services on the down (Panvel-bound) line were halted for about 40 minutes due to a rail crack near Govandi station, he said.",yes
"The Comptroller and Auditor General has criticised the railways over its waste management system in almost all sectors from stations, coaching depots, maintenance and production units as well as bio-medical waste generated in its hospitals. The CAG report on Waste Management in Indian Railways was presented in Parliament on Monday. It also pointed out that there is no single body or agency in the Indian Railways solely responsible for handling waste management related issues, adding that there is no system of dedicated fund allocation specifically for waste management.",yes
"Hectic buying of Russian crude now makes up 25% of India’s energy imports. Critics have started blaming India for financing Russia’s war in Ukraine. Despite criticism from the West, however, India, the world’s third largest oil importer, is not backing down on its buying, and in fact, has made it easier for trade with Russia to be conducted in rupees.",no
Customers unable to transact through UPI apps from State Bank of India accounts.  The apps show a notification that the bank's server is down.,yes
"A Chicago woman who posted regularly about her divorce on TikTok was killed by her former husband in a murder-suicide, multiple reports said.  29-year-old Sania Khan had split from Raheel Ahmad, 36, months before they were found dead together on July 18 at her home, according to ABC News, even though Ahmad lived hundreds of miles away in Georgia.",no
" It was decided to form Kerala Bank by merging fourteen district banks in the first phase to form the State Cooperative Bank, which is the only scheduled bank operating in the cooperative sector in the state.",yes
"Mounting delays, flyer woes: Air India looks at deboarding AIASL as ground handler from some Airports. Citing increased flight delays and passenger dissatisfaction at airports where ground handling is done by its erstwhile subsidiary that post-privatisation remains with the government — Air India Airport Services Ltd (AIASL), — AI has started looking at making alternate arrangement at those places.",yes
"There is also the question of energy. China will now have access to very cheap Russian energy because Russian energy is not being sold to the West. It is great advantage China has. Perhaps, they will be able to avoid inflation and the West will not. Perhaps, India will not either because India does not have the infrastructure built to have access to Russian energy and China already has. So, you can now have even another comparative disadvantage in its competition with China. India will pay higher energy costs than China. It is another impact the crisis is having on India.",no
"Air India Not Happy With State-Owned Ground Handling Service Provider. With Air India on a course-correction mode, it is doing everything it can to improve customer-facing operations and the on-time performance of its flights. Now, the airline has voiced its disappointment due to the inefficiency of its ground-handling service provider, which is still under government ownership.",yes
"Until recently, Tanuja Gupta was a senior manager at Google News. She was involved in various forms of activism at the company, and, in April, she invited Thenmozhi Soundararajan, the founder of Equality Labs, a nonprofit, to speak about the subject of caste discrimination. (India’s caste system, which has existed in some form for centuries, separates Hindus into broadly hierarchical groups that often correspond to historical religious practice and familial professions. Those at the bottom of the system are called Dalits—formerly known as “untouchables”—and still face extreme discrimination in India.)",no
"Print is a crucial part of our daily life. Most citizens rely on printed information. Apart from being a vital sector, the industry and the products it manufactures supports citizens, cultures and education in one way or the other. This support is endangered by the current turmoil in the supply chain.",yes
"Since the outbreak of war in Ukraine, the UN Security Council (UN SC) has overseen two resolutions deploring Russia’s invasion of Ukraine and demanding that it is stopped. While the vast majority of nations voted in favour of these resolutions, India, the world’s largest democracy, was the only major US ally to abstain in both – all while evacuating the 20,000 Indian citizens that lived in Ukraine before the war (some of whom have been killed).",no
"In a written response to a question from Aam Aadmi Party member Narain Dass Gupta, Union Minister of State for Housing and Urban Affairs Kaushal Kishore informed the Rajya Sabha that as of March 31, the DDA had a cash deficit of ₹9,615 crore.",yes
"Raksha Bandhan celebrates the bond between siblings and gifts are an important part of the festival. Gifts that are typically given include sweets, clothing, or money. While other options include more useful ones like a book, a home accessory, apparel, or chocolates. If your sibling enjoys vehicles, a cool automotive accessory might be ideal, or if they enjoy reading, a brand-new book would be a wonderful gift. The best Raksha Bandhan gifts are those that express your love for your siblings and highlight your unique bond with them.",no
Train no 19321. The food quality of the food on the train is very poor. half-cooked food served. birth no 7 same coach one heart patient traveling. He shocked see the quality of food.,yes
